,name,FK/Fpi,delta_su2,logGBF,chi2/df,Q,vol,L_4,L_5,L_1,L_2,L_3,L_6,L_7,L_8,L_9,A_a,A_k,A_p,A_loga,A_aa
10,ma_FpiFpi_nnlo_logSq_sunset_a4_FV,1.1994(60),-0.00435(72),58.179844244762755,1.0983454311379728,0.3476881865887277,10,-0.0003(18),0.00070(63),,,,,,,,-3.7(2.2),-2.0(3.2),4.1(2.0),,61(28)
11,ma_FpiFpi_nnlo_a4_FV,1.2017(61),-0.00441(72),58.48923604841707,1.0268566257231515,0.4238722335909971,10,-0.0004(20),0.00117(66),,,,,,,,-4.3(2.2),-2.3(3.7),5.0(2.2),,67(29)
12,ma_FpiFpi_nnlo_log_logSq_sunset_alphaS_a4_FV_bijnens,1.196(21),-0.00426(90),55.79770669014121,1.2761719163291263,0.19673800735117805,10,-0.0002(10),-0.00042(56),0.00029(14),0.00033(16),-0.0035(14),-0.00006(10),-0.00035(17),0.00020(10),,-3(19),-0.8(2.0),1.7(1.2),3(32),33(35)
13,ma_FpiFpi_nnlo_log_logSq_sunset_alphaS_a4_FV,1.198(21),-0.00430(91),55.83828429295245,1.281517530368948,0.19309768389077334,10,-0.0009(24),0.0003(10),-3(290)e-06,2(329)e-06,-0.0005(28),-3(1000)e-07,-0.00004(33),-0.00001(20),,-4(20),-1.1(2.5),2.6(1.4),3(33),39(35)
14,ma_FpiFpi_nnlo_logSq_sunset_alphaS_a4_FV,1.207(23),-0.00457(95),57.179079602586185,1.0862311780190121,0.3600333771504173,10,-0.0003(18),0.00078(67),,,,,,,,-11(21),-2.0(3.3),4.2(2.0),12(34),52(38)
15,ma_FpiFpi_nnlo_alphaS_a4_FV,1.209(23),-0.00462(95),57.48458147619914,1.016421992507718,0.4356125487699583,10,-0.0004(21),0.00125(69),,,,,,,,-11(21),-2.4(3.8),5.1(2.2),11(35),59(38)
16,ma-ratio_FpiFpi_nnlo_log_logSq_sunset_a4_bijnens,1.1955(55),-0.00424(71),49.89715630248122,2.0211624913056268,0.0075421419408162015,0,0.00047(16),-0.00140(39),0.00028(14),0.00029(16),-0.0057(10),-0.000058(98),-0.00031(17),0.00021(10),,-2.7(1.4),-2e-12 +- 1e-05,1e-11 +- 1e-05,,31(18)
17,ma-ratio_FpiFpi_nnlo_log_logSq_sunset_a4,1.1940(55),-0.00420(71),50.03268881056975,1.9202776679814504,0.012498380717317504,0,0.00064(17),-0.00186(40),-0.00002(29),-0.00007(33),-0.0061(12),4(96)e-06,0.00014(33),7(195)e-06,,-2.9(1.5),0.0003(310),-0.0004(310),,31(19)
18,ma-ratio_FpiFpi_nnlo_logSq_sunset_a4,1.2027(68),-0.00444(72),45.44278660010456,2.402853485028929,0.0009810611141251732,0,-0.00010(19),0.00020(52),,,,,,,,-2.7(1.7),0.3(1.8),2.23(89),,45(24)
19,ma-ratio_FpiFpi_nnlo_a4,1.2042(76),-0.00448(73),43.901490844963725,2.519098451668948,0.0005092334391989427,0,-0.00019(23),0.00053(63),,,,,,,,-2.4(1.7),0.4(2.2),3.55(90),,43(26)
20,ma-ratio_FpiFpi_nnlo_log_logSq_sunset_alphaS_a4_bijnens,1.192(19),-0.00414(87),48.65621171961176,2.018902078802156,0.007629296144099675,0,0.00048(18),-0.00144(43),0.00028(14),0.00029(16),-0.0058(10),-0.000058(98),-0.00031(17),0.00021(10),,0.6(17.1),-4e-12 +- 1e-05,2e-11 +- 1e-05,-6(29),36(29)
21,ma-ratio_FpiFpi_nnlo_log_logSq_sunset_alphaS_a4,1.189(19),-0.00404(87),48.81152398517087,1.9148850600144809,0.012834560513293349,0,0.00066(18),-0.00191(43),-0.00002(29),-0.00008(33),-0.0061(12),4(96)e-06,0.00014(33),9(195)e-06,,2(17),0.0006(470),-0.0008(470),-9(29),38(29)
22,ma-ratio_FpiFpi_nnlo_logSq_sunset_alphaS_a4,1.194(22),-0.00420(93),44.382391263666776,2.3928843268986766,0.0010371045965447802,0,-0.00008(20),0.00012(56),,,,,,,,5(19),0.3(1.8),2.23(89),-13(31),55(34)
23,ma-ratio_FpiFpi_nnlo_alphaS_a4,1.192(22),-0.00414(93),42.93559693241629,2.498269666410597,0.0005733233298536705,0,-0.00015(24),0.00043(67),,,,,,,,9(19),0.4(2.2),3.53(91),-19(31),58(35)
24,ma-ratio_FpiFpi_nnlo_log_logSq_sunset_a4_FV_bijnens,1.1964(55),-0.00426(71),53.170636894438594,1.6296551587663552,0.04851621487378766,10,0.00038(18),-0.00119(43),0.00028(14),0.00030(16),-0.0052(11),-0.000050(98),-0.00030(17),0.00021(10),,-2.9(1.4),0.0005(310),-0.0005(310),,33(18)
25,ma-ratio_FpiFpi_nnlo_log_logSq_sunset_a4_FV,1.1952(57),-0.00423(71),53.025476049260035,1.5614157995276312,0.06510225477124891,10,0.00058(22),-0.00175(55),-0.00002(29),-0.00007(33),-0.0056(14),9(97)e-06,0.00012(33),10(196)e-06,,-3.1(1.5),0.18(60),-0.22(60),,32(19)
