,name,FK/Fpi,delta_su2,logGBF,chi2/df,Q,vol,L_4,L_5,L_1,L_2,L_3,L_6,L_7,L_8,L_9,A_a,A_k,A_p,A_loga,A_aa
165,ma-ratio_FpiFpi_nnlo_logSq_sunset_a4,1.2007(77),-0.00438(73),37.245287037829726,2.3274059421112856,0.0014895982003637384,0,-0.00003(27),0.00005(73),,,,,,,,-2.3(1.8),0.8(2.5),2.70(96),,39(28)
166,ma-ratio_FpiFpi_nnlo,1.1925(26),-0.00415(69),43.46125073712384,2.5798440617527945,0.0003594857692571581,0,0.00014(16),-0.00033(43),,,,,,,,0.28(47),3.3(1.6),4.29(83),,
167,ma-ratio_FpiFpi_nnlo_a4,1.2030(81),-0.00445(73),36.14613875357461,2.439538875656416,0.000798918770532504,0,-0.00015(27),0.00047(74),,,,,,,,-2.2(1.8),0.7(2.6),3.86(93),,40(28)
168,ma-ratio_FpiFpi_nnlo_log_logSq_sunset_alphaS_bijnens,1.202(17),-0.00442(85),44.049942257153475,2.080707078298828,0.005557396027762501,0,0.00054(23),-0.00155(59),0.00028(14),0.00029(16),-0.0057(14),-0.00005(10),-0.00031(17),0.00021(10),,-11(14),1.0(1.9),0.6(1.8),17(21),
169,ma-ratio_FpiFpi_nnlo_log_logSq_sunset_alphaS_a4_bijnens,1.190(21),-0.00408(90),37.050441166078436,2.0106225819896566,0.007956692651951999,0,0.00049(24),-0.00144(60),0.00028(14),0.00029(16),-0.0056(14),-0.00006(10),-0.00030(17),0.00021(10),,2(19),0.2(2.0),0.4(1.8),-8(31),36(33)
170,ma-ratio_FpiFpi_nnlo_log_logSq_sunset_alphaS,1.202(17),-0.00441(84),45.05063056726837,1.9541147822844085,0.010569529847291459,0,0.00087(31),-0.00250(83),-0.00003(29),-0.00011(32),-0.0075(22),2(99)e-06,0.00008(33),0.00002(20),,-13(13),0.5(2.1),-1.5(3.0),18(20),
171,ma-ratio_FpiFpi_nnlo_log_logSq_sunset_alphaS_a4,1.190(20),-0.00409(89),38.004061531044016,1.8912759705783464,0.014407948602947316,0,0.00082(31),-0.00239(84),-0.00003(29),-0.00010(32),-0.0073(22),-3(991)e-07,0.00011(33),0.00002(20),,0.003(18.515),-0.07(2.23),-1.5(2.9),-5(31),33(32)
172,ma-ratio_FpiFpi_nnlo_logSq_sunset_alphaS,1.204(21),-0.00448(91),41.49493902230975,2.4287484262689905,0.0008487972531449247,0,0.00013(26),-0.00038(70),,,,,,,,-10(15),2.5(2.1),3.01(92),16(24),
173,ma-ratio_FpiFpi_nnlo_logSq_sunset_alphaS_a4,1.191(23),-0.00411(95),34.65520047278437,2.3156222796349684,0.0015890520925870724,0,5(281)e-06,-0.00005(77),,,,,,,,6(20),0.8(2.5),2.71(97),-15(33),50(37)
174,ma-ratio_FpiFpi_nnlo_alphaS,1.205(21),-0.00449(91),40.31679658054628,2.557101258119701,0.0004097233664536485,0,0.00003(26),-0.00001(71),,,,,,,,-9(16),2.5(2.1),4.13(89),14(24),
