,name,FK/Fpi,delta_su2,logGBF,chi2/df,Q,vol corr,L_4,L_5,A_a,A_k,A_p,A_loga
64,xpt_FpiFpi_nnlo,1.1834(34),-0.00390(69),55.54736020163593,2.2206986586515565,0.0033596326483076307,0,,-0.00013(40),-2.71(24),0.7(1.4),2.30(12),
65,xpt_FpiFpi_nnlo_logSq,1.1835(30),-0.00390(69),46.6540344399936,3.1590501647956417,1.8765248955430026e-05,0,,0.00035(45),-2.35(27),-2.8(1.6),2.78(13),
66,xpt_FpiFpi_nnlo_alphaS,1.1835(48),-0.00390(69),55.3580095817085,2.2205281771010945,0.0033625438764758172,0,,-0.00013(40),-2.9(2.8),0.7(1.4),2.30(12),0.2(4.1)
67,xpt_FpiFpi_nnlo_alphaS_logSq,1.1841(44),-0.00392(69),46.47543030406838,3.157198789834569,1.8971000077841683e-05,0,,0.00035(45),-2.8(2.8),-2.8(1.6),2.78(13),0.7(4.1)
68,xpt_FpiFpi_nnlo_FV,1.1863(43),-0.00398(69),65.73978163555475,1.0306490252830318,0.41929052351011903,10,,-0.00055(38),-3.28(23),2.3(1.4),2.21(11),
69,xpt_FpiFpi_nnlo_FV_logSq,1.1877(33),-0.00402(69),61.169133315725965,1.4790184208649928,0.09709737564307767,10,,-0.00033(40),-3.04(25),-0.3(1.5),2.69(12),
70,xpt_FpiFpi_nnlo_FV_alphaS,1.1861(54),-0.00397(70),65.55613432629238,1.0303966369014053,0.4195630188038451,10,,-0.00055(38),-3.1(2.8),2.3(1.4),2.21(11),-0.3(4.1)
71,xpt_FpiFpi_nnlo_FV_alphaS_logSq,1.1879(47),-0.00402(70),60.97995355536325,1.4788733218927128,0.09715173013072087,10,,-0.00033(41),-3.2(2.8),-0.3(1.5),2.69(12),0.2(4.1)
72,xpt-ratio_FKFK_nnlo,1.1758(20),-0.00368(68),57.89082685965462,1.8896893001411528,0.016821021088336215,0,0.0022(36),-0.0002(12),-4.48(48),6.1(2.4),-1.7(1.4),
73,xpt-ratio_FKFK_nnlo_logSq,1.1765(21),-0.00371(68),58.42017905785558,1.8545849683191835,0.019771573047076274,0,0.0048(42),-0.0006(12),-4.64(49),6.1(2.3),-2.8(1.4),
74,xpt-ratio_FKFK_nnlo_alphaS,1.1748(32),-0.00366(68),57.768989084238044,1.8807789659971776,0.01752862420045217,0,0.0022(36),-0.0003(12),-3.5(2.8),6.2(2.4),-1.7(1.4),-1.6(4.2)
75,xpt-ratio_FKFK_nnlo_alphaS_logSq,1.1755(33),-0.00368(68),58.319211983692405,1.8431233456884568,0.02083403679252962,0,0.0048(42),-0.0007(11),-3.5(2.8),6.2(2.3),-2.8(1.4),-1.8(4.2)
76,xpt-ratio_FKFK_nnlo_FV,1.1792(29),-0.00378(68),64.51697269817535,0.6205142608398684,0.8703494290556363,10,-0.00354(42),-0.00090(17),-5.10(45),2.1(1.6),3.11(59),
77,xpt-ratio_FKFK_nnlo_FV_logSq,1.1780(25),-0.00375(68),64.5299763936433,0.6741892974377827,0.8224361308910333,10,-0.00317(46),-0.00124(27),-4.50(24),3.2(2.6),3.7(1.2),
78,xpt-ratio_FKFK_nnlo_FV_alphaS,1.1783(37),-0.00376(69),64.3787393740013,0.6101178069658175,0.8787637967271876,10,-0.00356(41),-0.00090(16),-4.0(2.8),2.0(1.6),3.15(59),-1.7(4.1)
79,xpt-ratio_FKFK_nnlo_FV_alphaS_logSq,1.1773(35),-0.00373(68),64.38979596123374,0.6687462967090356,0.8276167400970849,10,-0.00316(46),-0.00124(27),-3.7(2.8),3.2(2.6),3.7(1.2),-1.2(4.1)
80,xpt-ratio_FKFpi_nnlo,1.1814(30),-0.00384(68),57.70358280736284,2.0425456360865057,0.008144047237648177,0,0.0044(36),0.0003(12),-3.70(34),4.1(1.6),-0.04(88),
