,name,L_1,L_2,L_3,L_6,L_7,L_8,L_4,L_5,A_k,A_p,A_a,A_loga,A_aa
73,xpt-ratio_FKFK_nnlo_logSq_sunset_a4,,,,,,,0.0000(50),0.0000(50),0.0(1.2),0.0(1.2),0.0(2.4),,0.00(43)
74,xpt-ratio_FKFK_nnlo_logSq_sunset_alphaS,,,,,,,0.0000(50),0.0000(50),0.0(1.2),0.0(1.2),0.0(2.0),0.0(2.0),
75,xpt-ratio_FKFK_nnlo_logSq_sunset_alphaS_a4,,,,,,,0.0000(50),0.0000(50),0.0(1.2),0.0(1.2),0.0(2.0),0.0(2.0),0.00(63)
76,xpt-ratio_FKFK_nnlo_logSq_sunset_FV,,,,,,,0.0000(50),0.0000(50),0.00(15),0.00(15),0.0(2.7),,
77,xpt-ratio_FKFK_nnlo_logSq_sunset_a4_FV,,,,,,,0.0000(50),0.0000(50),0.00(27),0.00(27),0.0(2.2),,0.00(53)
78,xpt-ratio_FKFK_nnlo_logSq_sunset_alphaS_FV,,,,,,,0.0000(50),0.0000(50),0.000(13),0.000(13),0.0(2.3),0.0(2.3),
79,xpt-ratio_FKFK_nnlo_logSq_sunset_alphaS_a4_FV,,,,,,,0.0000(50),0.0000(50),0.00(27),0.00(27),0.0(2.2),0.0(2.2),0.00(53)
80,xpt-ratio_FKFpi_nnlo_logSq_sunset,,,,,,,0.0000(50),0.0000(50),0(15),0(15),0.0(1.4),,
81,xpt-ratio_FKFpi_nnlo_logSq_sunset_a4,,,,,,,0.0000(50),0.0000(50),0(15),0(15),0.0(1.4),,0.0(2.7)
82,xpt-ratio_FKFpi_nnlo_logSq_sunset_alphaS,,,,,,,0.0000(50),0.0000(50),0(15),0(15),0.0(1.1),0.0(1.1),
83,xpt-ratio_FKFpi_nnlo_logSq_sunset_alphaS_a4,,,,,,,0.0000(50),0.0000(50),0(15),0(15),0.0(1.2),0.0(1.2),0.0(2.5)
84,xpt-ratio_FKFpi_nnlo_logSq_sunset_FV,,,,,,,0.0000(50),0.0000(50),0(15),0(15),0.0(1.5),,
85,xpt-ratio_FKFpi_nnlo_logSq_sunset_a4_FV,,,,,,,0.0000(50),0.0000(50),0(15),0(15),0.0(1.6),,0.0(2.8)
86,xpt-ratio_FKFpi_nnlo_logSq_sunset_alphaS_FV,,,,,,,0.0000(50),0.0000(50),0(15),0(15),0.0(1.3),0.0(1.3),
87,xpt-ratio_FKFpi_nnlo_logSq_sunset_alphaS_a4_FV,,,,,,,0.0000(50),0.0000(50),0(15),0(15),0.0(1.3),0.0(1.3),0.0(1.2)
88,xpt-ratio_FpiFpi_nnlo_logSq_sunset,,,,,,,0.0000(50),0.0000(50),0.0(2.8),0.0(2.8),0.0(2.1),,
89,xpt-ratio_FpiFpi_nnlo_logSq_sunset_a4,,,,,,,0.0000(50),0.0000(50),0.0(2.5),0.0(2.5),0.0(6.4),,0(51)
90,xpt-ratio_FpiFpi_nnlo_logSq_sunset_alphaS,,,,,,,0.0000(50),0.0000(50),0.0(2.8),0.0(2.8),0.0(1.8),0.0(1.8),
91,xpt-ratio_FpiFpi_nnlo_logSq_sunset_alphaS_a4,,,,,,,0.0000(50),0.0000(50),0.0(2.8),0.0(2.8),0.0(1.8),0.0(1.8),0.00(33)
92,xpt-ratio_FpiFpi_nnlo_logSq_sunset_FV,,,,,,,0.0000(50),0.0000(50),0.0(5.2),0.0(5.2),0.0(2.6),,
93,xpt-ratio_FpiFpi_nnlo_logSq_sunset_a4_FV,,,,,,,0.0000(50),0.0000(50),0.0(5.2),0.0(5.2),0.0(2.6),,0.0(2.1)
94,xpt-ratio_FpiFpi_nnlo_logSq_sunset_alphaS_FV,,,,,,,0.0000(50),0.0000(50),0.0(5.1),0.0(5.1),0.0(2.3),0.0(2.3),
95,xpt-ratio_FpiFpi_nnlo_logSq_sunset_alphaS_a4_FV,,,,,,,0.0000(50),0.0000(50),0.0(1.3),0.0(1.3),0.0(1.7),0.0(1.7),0.00(10)
