,name,FK/Fpi,delta_su2,logGBF,chi2/df,Q,vol,po:A_x,po:L_4,po:L_5,po:L_1,po:L_2,po:L_3,po:L_6,po:L_7,po:L_8,po:L_9,po:A_a,po:A_k,po:A_p,po:A_loga,po:A_aa,po:A_ak,po:A_ap,po:A_kk,po:A_kp,po:A_pp,eb:disc,eb:chiral,eb:pp_input,eb:stat
44,ma-ratio_FpiFpi_nnlo_alphaS_FV,1.222(13),-0.00497(81),43.807802111299466,2.517744206975633,0.000513180444316925,True,,-0.00022(33),0.00067(97),,,,,,,,-21.1(9.5),0.5(3.3),4.1(1.1),33(15),,,,,,,0.002385621255142888,0.003893438946563361,0.0012872551131557115,0.01247166367143279
45,ma-ratio_FpiFpi_nnlo_alphaS_a4_FV,1.222(20),-0.00497(90),41.91896021690975,2.1609899040692566,0.0036525186194775404,True,,-0.00070(58),0.0021(17),,,,,,,,-6(12),-5.0(6.8),4.5(2.2),-0.4(21.8),101(58),,,,,,0.0025538268714794844,0.011679116438059826,0.00047497270405306806,0.015353663691237304
46,ma-ratio_FpiFpi_nnlo_log_logSq_sunset_alphaS_FV_bijnens,1.2126(94),-0.00471(76),47.86660469872776,2.068472952589988,0.005919752728309596,True,,0.00042(26),-0.00129(67),0.00028(14),0.00029(16),-0.0056(14),-0.00006(10),-0.00031(17),0.00021(10),,-19.7(7.5),0.2(2.1),-0.1(1.7),29(12),,,,,,,0.0012389581672298624,0.002325866842515285,0.0018788140152666746,0.008715737313613027
47,ma-ratio_FpiFpi_nnlo_log_logSq_sunset_alphaS_a4_FV_bijnens,1.208(11),-0.00460(76),45.21610430923951,1.8959097616184508,0.014085651746987537,True,,0.00020(30),-0.00079(76),0.00028(14),0.00030(16),-0.0052(14),-0.00006(10),-0.00030(17),0.00021(10),,-10(10),-1.9(2.6),-1.3(2.0),8(18),57(35),,,,,,0.001848621132868368,0.002383028405734117,0.001140776139728581,0.010051736219692495
48,xpt_FKFK_nnlo_FV,1.1813(28),-0.00384(68),61.403719100484714,1.4849733546870418,0.08936822219992252,True,,-0.0025(35),-0.00149(61),,,,,,,,-5.83(53),6.7(6.7),-2.8(3.6),,,,,,,,4.669295626597403e-06,0.0001647414564440882,0.0023922633756724393,0.001446776448262785
49,xpt_FKFK_nnlo_a4_FV,1.1925(39),-0.00415(70),64.7698858879989,0.7154502360883593,0.7901893254338064,True,,-0.0012(35),0.00033(85),,,,,,,,-10.9(1.5),2.2(6.9),0.8(3.7),,80(23),,,,,,9.26941219139626e-05,0.0007093425251751193,0.0013601723263780973,0.003572863642252785
50,xpt_FKFK_nnlo_log_logSq_sunset_FV_bijnens,1.1800(27),-0.00380(68),60.06289683687611,1.5229494019790597,0.07648545860623204,True,,-0.0009(21),-0.00135(52),0.00028(14),0.00031(16),-0.0037(15),-0.00006(10),-0.00038(17),0.00019(10),,-5.34(42),2.6(8.2),-3.3(4.4),,,,,,,,5.7977263258828574e-06,0.00044418676415854336,0.0020671662720075494,0.0017087641966125602
51,xpt_FKFK_nnlo_log_logSq_sunset_a4_FV_bijnens,1.1888(35),-0.00405(69),62.899948712385424,0.7597185751183007,0.7418430650851588,True,,-0.0010(25),-0.00082(56),0.00029(14),0.00032(16),-0.0033(15),-0.00006(10),-0.00034(17),0.00020(10),,-10.1(1.4),2.2(7.8),-2.1(4.1),,65(18),,,,,,5.88822055972663e-05,0.0007713729451969322,0.001854042672269829,0.0029244172887887988
52,xpt_FKFK_nnlo_alphaS_FV,1.2003(66),-0.00437(72),64.70244517467617,0.8907589777476935,0.5851892171337734,True,,-0.0019(35),-0.00032(74),,,,,,,,-29.6(7.6),4.3(6.8),-0.7(3.6),37(12),,,,,,,0.0008717941433026527,0.0008119379240841874,0.0019436014294302343,0.006195243548224566
53,xpt_FKFK_nnlo_alphaS_a4_FV,1.1950(72),-0.00422(72),63.2440482294695,0.7059052919783456,0.8001136038699523,True,,-0.0013(35),0.00032(86),,,,,,,,-15(11),2.4(6.9),0.7(3.7),8(20),68(38),,,,,,0.0014346301695940804,0.0004262251909159551,0.001413342299360438,0.006943320266653584
54,xpt_FKFK_nnlo_log_logSq_sunset_alphaS_FV_bijnens,1.1975(59),-0.00429(71),63.60962377734235,0.8617576641113703,0.6206841794101929,True,,-0.0010(24),-0.00099(55),0.00029(14),0.00032(16),-0.0035(15),-0.00006(10),-0.00035(17),0.00020(10),,-27.9(6.8),2.6(8.0),-2.8(4.2),34(10),,,,,,,0.0006495258399113244,0.0009051020582310696,0.002119021200326087,0.005420380872656008
55,xpt_FKFK_nnlo_log_logSq_sunset_alphaS_a4_FV_bijnens,1.1917(71),-0.00413(72),61.40312980643691,0.7461664015967286,0.7570157655485319,True,,-0.0010(25),-0.00083(57),0.00029(14),0.00032(16),-0.0033(15),-0.00006(10),-0.00034(17),0.00020(10),,-15(11),2.3(7.9),-2.2(4.1),10(20),50(36),,,,,,0.0014615816963337981,0.0005676468158677687,0.0019154792707603628,0.006700790194250208
56,xpt_FKFpi_nnlo_FV,1.1897(22),-0.00407(69),50.199517018369924,2.878785475039183,6.162085838131412e-05,True,,-0.0016(21),-0.00023(42),,,,,,,,-4.45(30),0.6(8.1),2.3(4.2),,,,,,,,3.858595858104348e-06,0.00014771032275432452,0.0014873278016553865,0.0015664186137461012
57,xpt_FKFpi_nnlo_a4_FV,1.2046(37),-0.00449(71),59.809869635982615,1.1735121273354252,0.2768097933683284,True,,-0.0009(22),0.00161(67),,,,,,,,-11.3(1.5),-2.0(8.2),6.0(4.3),,98(21),,,,,,8.541147089048318e-05,0.00037456923098770623,0.0004673931472374781,0.0035999204739277546
