,name,FK/Fpi,delta_su2,logGBF,chi2/df,Q,vol,po:A_x,po:L_4,po:L_5,po:L_1,po:L_2,po:L_3,po:L_6,po:L_7,po:L_8,po:L_9,po:A_a,po:A_k,po:A_p,po:A_loga,po:A_aa,po:A_ak,po:A_ap,po:A_kk,po:A_kp,po:A_pp,eb:disc,eb:chiral,eb:pp_input,eb:stat
51,xpt_FKFK_n2lo_log_logSq_sunset_alphaS_a4_FV_bijnens,1.1917(71),-0.00413(72),61.40312980643691,0.7461664015967286,0.7570157655485319,True,,-0.0010(25),-0.00083(57),0.00029(14),0.00032(16),-0.0033(15),-0.00006(10),-0.00034(17),0.00020(10),,-15(11),2.3(7.9),-2.2(4.1),10(20),50(36),,,,,,0.0014615816963337981,0.0005676468158677687,0.0019154792707603628,0.006700790194250208
52,xpt_FKFpi_n2lo_a4_FV,1.2046(37),-0.00449(71),59.809869635982615,1.1735121273354252,0.2768097933683284,True,,-0.0009(22),0.00161(67),,,,,,,,-11.3(1.5),-2.0(8.2),6.0(4.3),,98(21),,,,,,8.541147089048318e-05,0.00037456923098770623,0.0004673931472374781,0.0035999204739277546
53,xpt_FKFpi_n2lo_log_logSq_sunset_a4_FV_bijnens,1.1977(32),-0.00430(70),63.81163153835601,0.6376902826040757,0.8647224952379687,True,,-0.0004(21),-0.00004(54),0.00023(12),0.00022(11),-0.0036(15),-0.00010(10),-0.00035(17),0.00014(10),,-9.7(1.2),-0.6(8.1),2.0(4.1),,75(16),,,,,,5.0284605904622965e-05,0.0006334818860167429,0.0010160958709568948,0.0029856347446517786
54,xpt_FKFpi_n2lo_alphaS_a4_FV,1.2062(76),-0.00454(73),58.140010944516106,1.1702251802868744,0.2796957816428175,True,,-0.0010(22),0.00161(67),,,,,,,,-13.6(9.9),-2.0(8.2),6.0(4.3),4(18),92(34),,,,,,0.001408753956030864,0.0002513655106589422,0.0004930976279960927,0.007497836280582749
55,xpt_FKFpi_n2lo_log_logSq_sunset_alphaS_a4_FV_bijnens,1.2003(72),-0.00437(72),62.159620724910994,0.6277103792069089,0.8731432276977059,True,,-0.0004(21),-0.00005(54),0.00023(12),0.00022(11),-0.0036(15),-0.00010(10),-0.00036(17),0.00014(10),,-13.6(9.5),-0.5(8.1),1.9(4.1),7(17),65(30),,,,,,0.0012806858416564413,0.00039251308940391216,0.0010606750234635684,0.006951597355681079
56,xpt_FpiFpi_n2lo_a4_FV,1.2071(36),-0.00456(71),61.7722189737583,0.8946465240458178,0.5804311959121379,True,,-0.0005(34),0.00093(50),,,,,,,,-10.1(1.4),-1.6(6.6),5.4(3.3),,87(19),,,,,,6.942167899186201e-05,0.00018208841350952958,0.0005831576474861957,0.0035478714430808907
57,xpt_FpiFpi_n2lo_log_logSq_sunset_a4_FV_bijnens,1.2029(34),-0.00445(71),63.58824226760385,0.6508697029164314,0.8531763884196188,True,,-0.0002(29),-0.00042(54),0.00029(14),0.00032(16),-0.0036(15),-0.00006(10),-0.00036(17),0.00020(10),,-8.8(1.1),-0.9(7.4),2.3(3.8),,69(14),,,,,,4.3968678596228746e-05,0.0004263665281132121,0.0014002771226013706,0.0031056255386668315
58,xpt_FpiFpi_n2lo_alphaS_a4_FV,1.2073(80),-0.00457(74),59.94354968310864,0.894590322015348,0.5804999685844681,True,,-0.0005(34),0.00093(50),,,,,,,,-10.3(8.8),-1.6(6.6),5.4(3.3),0.5(16.0),86(30),,,,,,0.001334844144906826,0.00013091063245818996,0.0005881186146798619,0.00790523793604474
59,xpt_FpiFpi_n2lo_log_logSq_sunset_alphaS_a4_FV_bijnens,1.2044(75),-0.00449(73),61.73323814008123,0.6480121187059412,0.8557202809813891,True,,-0.0002(29),-0.00043(54),0.00029(14),0.00032(16),-0.0036(15),-0.00006(10),-0.00036(17),0.00020(10),,-10.6(8.1),-0.8(7.4),2.3(3.8),3(15),64(27),,,,,,0.0011477523664258473,0.00031235952022000066,0.0014374157623007078,0.007244176140873537
60,xpt_FKFK_n3lo_a4_FV,1.1855(73),-0.00396(71),59.54759955127959,0.6131473986823376,0.8849183826340771,True,,-0.0002(44),0.0004(16),,,,,,,,-11(12),0.6(9.2),-0.3(7.6),,57(29),20(92),-25(31),21(50),22(64),-15(21),0.0004431950544087166,0.00327886314370038,0.001594472070820473,0.006310750933144384
