input used:
# mp0 :  0.130000000000000
# mk0 :  0.450000000000000
# f0  :  0.087700000000000
# mu  :  0.770000000000000
# Li set :  fitBE14
#mu : 0.77
#L1r  L2r  L3r :0.000528552266181 0.000814177210776 -0.00307190158082
#L4r  L5r  L6r :0.0003 0.001014976780543 0.000144108338197
#L7r  L8r  L9r :-0.000342935304325 0.000473156165745 0.00593
#L10r H1r  H2r :0 0 0
output for m_pi L = 2
output for m_pi L = 4
 eps maxonesum maxtwosum  mpi4loVt    mpi4loVb    mpi6LloVt     mpi6LloVb      mpi6RloVt      mpi6RloVb
      10    1    1   1.11986e-05   8.80664e-06   8.57253e-07   6.85489e-07  -1.91658e-06  -1.50556e-06
       1    2    2   1.11986e-05   1.07591e-05   8.57253e-07   8.26442e-07  -1.91658e-06  -1.93942e-06
     0.1    5    5   1.11986e-05   1.11523e-05   8.57253e-07   8.54955e-07  -2.04902e-06  -2.04038e-06
    0.01   10   10   1.11986e-05   1.11849e-05   8.57373e-07   8.57463e-07  -2.05464e-06  -2.05164e-06
   0.001   20   20   1.11852e-05   1.11859e-05   8.57147e-07   8.57546e-07  -2.05207e-06  -2.05176e-06
  0.0001   40   40   1.11859e-05   1.11859e-05   8.57283e-07   8.57547e-07  -2.05164e-06   -2.0518e-06
   1e-05   80   40   1.11859e-05   1.11859e-05   8.57616e-07   8.57547e-07  -2.05182e-06   -2.0518e-06
 eps maxonesum maxtwosum   mk4loVt     mk4loVb     mk6LloVt      mk6LloVb       mk6RloVt       mk6RloVb
      10    1    1   6.27356e-10   9.67756e-10   1.21076e-05   9.56043e-06   4.77691e-06   4.61811e-06
       1    2    2   6.27356e-10   9.69386e-10   1.21076e-05   1.16475e-05   4.56873e-06   5.20011e-06
     0.1    5    5   6.27356e-10   9.69392e-10   1.21076e-05   1.20649e-05   4.30892e-06   5.33624e-06
    0.01   10   10   6.27356e-10   9.69392e-10   1.21078e-05   1.20994e-05   5.72803e-06   5.28644e-06
   0.001   20   20   6.27356e-10   9.69392e-10   1.20942e-05   1.21004e-05   5.28486e-06   5.28414e-06
